date,predicted_sales,lower_bound,upper_bound
2026-03-19,323015.11986776185,44835.64124851959,601194.5984870042
2026-03-20,355799.87895666837,58168.960069059394,653430.7978442773
2026-03-21,497812.4466127157,185088.92741166754,810535.9658137639
2026-03-22,462315.06073832855,135359.37950194528,789270.7419747119
2026-03-23,264010.7647401247,-76573.86590009852,604595.395380348
2026-03-24,275645.6840253196,-78042.61450117058,629333.9825518097
2026-03-25,287352.8317942581,-78970.67867102643,653676.3422595426
2026-03-26,319324.55961837294,-71014.87009510124,709663.989331847
2026-03-27,344406.75278043543,-61238.869631040376,750052.3751919112
2026-03-28,550612.3213777333,130581.89478105836,970642.7479744081
2026-03-29,493945.40097294934,60026.79902903532,927864.0029168634
2026-03-30,284596.901324016,-162777.83296532952,731971.6356133615
2026-03-31,277397.1135888247,-183040.60838489782,737834.8355625472
2026-04-01,306084.21315121936,-167055.97273782385,779224.3990402626
2026-04-02,335228.0462284565,-180330.29107627016,850786.3835331831
2026-04-03,362131.9973433342,-173531.6343281783,897795.6290148466
2026-04-04,553155.078555308,-1006.0975610497408,1107316.2546716658
2026-04-05,501495.0309598234,-70517.72014980658,1073507.7820694535
2026-04-06,294758.6304517484,-294562.5193718007,884079.7802752975
2026-04-07,292013.49817041797,-314121.8562280503,898148.8525688862
2026-04-08,316684.6162375261,-305810.9321680816,939180.1646431338
2026-04-09,346497.28354422527,-315180.0680919229,1008174.6351803734
2026-04-10,372970.3649890126,-310993.9664975818,1056934.6964756069
2026-04-11,567584.3037684018,-137251.47661363473,1272420.0841504384
2026-04-12,514740.06502820813,-210327.42378725327,1239807.5538436696
2026-04-13,307385.8687842475,-437361.73872468044,1052133.4762931755
2026-04-14,303587.15201173635,-460333.621769539,1067507.9257930117
2026-04-15,329208.10242034146,-453416.25684459484,1111832.4616852778
2026-04-16,358862.58165197383,-464496.23515757424,1182221.3984615218
2026-04-17,385437.56942977145,-462500.0759246237,1233375.2147841665
